0,Nome,0,Empresa,Departamento,0.00
29074,Cooper B. Richard,56,Macromedia,Payroll,8999.00
29084,Jesse G. Barnett,30,Borland,Advertising,5011.00
29086,McKenzie X. Adams,41,Cakewalk,Media Relations,2577.00
29087,Molly R. Knowles,38,Borland,Customer Service,3524.00
29088,Samson F. Emerson,54,Google,Public Relations,4700.00
29091,Stewart G. England,60,Cakewalk,Media Relations,4364.00
29092,Ferris U. Stein,65,Cakewalk,Human Resources,3961.00
29101,Madison W. Payne,32,Apple Systems,Sales and Marketing,6488.00
29104,Sophia O. Oneil,24,Sibelius,Tech Support,7196.00
29105,George H. Chen,24,Macromedia,Payroll,8239.00
29107,Fletcher X. Schroeder,62,Macromedia,Accounting,1946.00
29109,Ignacia W. Williams,58,Lycos,Public Relations,8846.00
29126,Ifeoma E. Garcia,38,Chami,Payroll,4927.00
29127,Demetria A. Alvarez,32,Adobe,Public Relations,3733.00
29134,Valentine U. Hart,66,Adobe,Finances,8081.00
29144,Shoshana Q. Lindsay,42,Adobe,Sales and Marketing,6684.00
29146,Julian R. Hancock,67,Yahoo,Media Relations,2690.00
29159,Matthew B. Fletcher,23,Microsoft,Customer Service,8439.00
29165,Wanda Y. Guerra,29,Lavasoft,Finances,8165.00
29169,Paul S. Patterson,50,Sibelius,Quality Assurance,9201.00
29174,TaShya N. Jenkins,25,Yahoo,Asset Management,2425.00
29183,MacKenzie N. Vargas,67,Borland,Payroll,2388.00
29186,Brady J. Jimenez,31,Finale,Customer Relations,2744.00
29189,Xyla Z. Farley,30,Chami,Advertising,3775.00
29192,Craig L. Mccullough,18,Lavasoft,Research and Development,1503.00
29194,Harrison K. Patterson,59,Cakewalk,Legal Department,4134.00
29205,Bert J. English,41,Macromedia,Asset Management,5775.00
29208,Anthony P. Gomez,20,Finale,Asset Management,4991.00
29216,Georgia K. Stanton,21,Chami,Human Resources,8300.00
29237,Eaton X. Tillman,59,Cakewalk,Quality Assurance,4246.00
29241,Cooper G. Howe,69,Borland,Tech Support,5372.00
29261,Omar G. Carr,18,Cakewalk,Public Relations,7992.00
29272,Flynn K. Mendoza,18,Microsoft,Human Resources,1569.00
29293,Leila T. Stevens,36,Finale,Finances,8679.00
29296,Bernard N. Mcintyre,24,Macromedia,Finances,8732.00
29305,Yeo J. Miller,66,Yahoo,Research and Development,6296.00
29309,MacKenzie S. Perry,55,Lycos,Media Relations,4053.00
29312,Lillian Q. Hendrix,55,Chami,Payroll,9888.00
29313,Florence F. Ewing,46,Adobe,Public Relations,5475.00
29316,Denise I. Wagner,56,Borland,Research and Development,8129.00
29322,Holmes W. Colon,44,Altavista,Sales and Marketing,3571.00
29326,Joy N. Jarvis,67,Adobe,Advertising,2389.00
29330,Yvonne Q. Mckay,27,Google,Research and Development,5247.00
29335,Dieter O. Duffy,33,Sibelius,Customer Relations,1117.00
29336,Steel Q. Shannon,23,Lavasoft,Media Relations,9104.00
29339,Lois H. Horne,68,Lycos,Quality Assurance,2772.00
29373,Chaim U. Cobb,38,Altavista,Human Resources,4439.00
29375,Silas E. Baxter,64,Borland,Asset Management,6701.00
29380,Venus X. Branch,38,Adobe,Accounting,9343.00
29396,Carl U. Ingram,33,Macromedia,Media Relations,2524.00
29399,Fitzgerald Q. Nichols,49,Lycos,Research and Development,3369.00
29401,Brianna O. Weeks,32,Microsoft,Human Resources,4384.00
29403,Wanda U. Abbott,31,Google,Human Resources,5929.00
29411,Maggie E. Cash,40,Altavista,Customer Relations,5229.00
29414,Mollie V. Hudson,29,Google,Research and Development,5392.00
29420,Phoebe X. Gross,25,Finale,Accounting,5331.00
29429,Kane O. Wilson,24,Cakewalk,Legal Department,9189.00
29434,Steel Q. Tucker,51,Apple Systems,Research and Development,3622.00
29443,Martena F. Henry,24,Cakewalk,Public Relations,1719.00
29449,Iola L. Kelly,20,Finale,Customer Service,1939.00
29451,Riley B. Rivers,25,Chami,Payroll,6934.00
29452,Chaim Q. Gibson,61,Altavista,Sales and Marketing,6994.00
29456,Petra I. Reeves,50,Google,Asset Management,3215.00
29467,Henry I. Pena,63,Apple Systems,Quality Assurance,5166.00
29470,Sacha O. Garrett,55,Cakewalk,Human Resources,6412.00
29471,Veronica H. Long,56,Adobe,Customer Relations,1716.00
29479,Caryn M. Harper,26,Microsoft,Sales and Marketing,7605.00
29481,Prescott L. Kerr,48,Macromedia,Payroll,7605.00
29483,Kylee A. Huffman,45,Adobe,Accounting,6589.00
29489,Stephen Z. Ruiz,54,Borland,Tech Support,1617.00
29491,Kalia B. Carter,45,Finale,Advertising,6533.00
29496,Gillian K. Fisher,66,Lycos,Public Relations,2546.00
29497,Amir H. Pate,21,Borland,Tech Support,9346.00
29500,Griffith K. Foster,68,Lavasoft,Quality Assurance,6392.00
29501,Hakeem V. Adkins,44,Adobe,Research and Development,8415.00
29504,Ferris W. Nolan,62,Google,Customer Relations,3313.00
29505,Meredith B. Moore,27,Cakewalk,Advertising,8955.00
29513,Deanna O. Hernandez,18,Altavista,Asset Management,8002.00
29514,Uma S. Walker,54,Altavista,Sales and Marketing,5072.00
29519,Hamish X. Bailey,62,Apple Systems,Finances,9332.00
29524,Edward Z. Irwin,19,Lycos,Asset Management,1613.00
29527,Latifah Q. Chan,53,Adobe,Quality Assurance,4996.00
29529,Garrison G. Richardson,36,Yahoo,Public Relations,1642.00
29535,Libby W. Garcia,21,Altavista,Customer Relations,6414.00
29540,Nina U. Irwin,34,Macromedia,Quality Assurance,1704.00
29542,Sacha P. Franks,57,Macromedia,Tech Support,7602.00
29544,Desiree V. Duncan,28,Yahoo,Human Resources,3233.00
29551,Oren D. Sharpe,67,Lycos,Customer Relations,3861.00
29569,Maggy Y. Ewing,32,Sibelius,Tech Support,3792.00
29570,Warren Q. Whitfield,46,Macromedia,Media Relations,5444.00
29576,David E. Velez,54,Lavasoft,Quality Assurance,8107.00
29581,Abdul N. Barnett,44,Google,Human Resources,1596.00
29582,Hilda R. Moody,52,Borland,Accounting,4560.00
29593,Kirby S. Austin,35,Altavista,Public Relations,2653.00
29596,Macon E. Alexander,55,Adobe,Payroll,1117.00
29603,Kiona X. Norton,37,Yahoo,Media Relations,8520.00
29605,Kennan K. Albert,63,Apple Systems,Finances,5793.00
29612,Sage A. Bauer,32,Apple Systems,Tech Support,3007.00
29613,Oliver X. Gibbs,26,Microsoft,Human Resources,3431.00
29615,Cally I. Houston,66,Lavasoft,Public Relations,8757.00
29632,Amelia L. Bradford,70,Adobe,Legal Department,3886.00
29639,Kieran P. Yates,21,Lavasoft,Research and Development,3301.00
29644,Belle G. Ramirez,67,Sibelius,Advertising,5889.00
29653,Xenos D. Alston,51,Lavasoft,Human Resources,5670.00
29658,Brett Q. Ward,23,Altavista,Asset Management,4508.00
29676,Clio Y. Wright,38,Apple Systems,Research and Development,1844.00
29677,Marsden O. Stark,28,Apple Systems,Accounting,1057.00
29678,Keely B. Kemp,53,Adobe,Media Relations,3695.00
29679,Quintessa T. Meyers,36,Apple Systems,Public Relations,9521.00
29692,Phillip K. Marshall,56,Yahoo,Tech Support,4403.00
29708,Eden G. Robinson,33,Borland,Sales and Marketing,1219.00
29713,Kiara U. Chen,30,Sibelius,Customer Service,4419.00
29715,Harding Q. Kerr,41,Google,Accounting,6044.00
29718,Jorden Y. Watts,60,Chami,Sales and Marketing,4552.00
29725,Stewart C. Byrd,66,Chami,Legal Department,6639.00
29734,Dai K. Cooke,32,Chami,Human Resources,3473.00
29736,Haley G. Crawford,60,Yahoo,Payroll,9146.00
29763,Rhonda R. Little,39,Sibelius,Human Resources,3653.00
29768,Leslie Q. Warner,30,Altavista,Research and Development,3351.00
29779,Katell J. Villarreal,20,Macromedia,Advertising,4431.00
29790,Marny V. Crawford,36,Microsoft,Tech Support,7503.00
29808,Fritz N. Morin,67,Lavasoft,Payroll,2957.00
29820,Stewart J. Klein,40,Finale,Advertising,6396.00
29827,Kadeem X. Hobbs,64,Yahoo,Customer Relations,9599.00
29844,Driscoll D. Patton,59,Adobe,Advertising,4673.00
29857,Jane X. Jimenez,61,Apple Systems,Tech Support,5808.00
29866,Ursula X. Hardy,51,Cakewalk,Asset Management,8267.00
29868,Ginger T. Armstrong,65,Microsoft,Advertising,8748.00
29876,Galvin E. Walker,59,Apple Systems,Research and Development,4437.00
29879,Jayme M. Lindsey,41,Chami,Customer Service,7558.00
29887,Colleen I. Trujillo,32,Cakewalk,Finances,8227.00
29899,Griffith R. Clark,52,Microsoft,Sales and Marketing,7071.00
29901,Myles A. Sanchez,36,Lycos,Customer Service,5016.00
29908,Tatiana D. Lamb,25,Macromedia,Accounting,1404.00
29911,Louis D. Rutledge,37,Macromedia,Finances,7551.00
29913,Rinah G. Daniels,57,Lavasoft,Sales and Marketing,5820.00
29917,Hillary Z. Christian,33,Google,Public Relations,4179.00
29922,Steel R. Rosario,47,Finale,Advertising,7409.00
29925,Raven D. Berg,33,Cakewalk,Asset Management,8511.00
29946,Hadassah S. Vang,64,Adobe,Advertising,5948.00
29964,Freya U. Wilkerson,63,Adobe,Advertising,4217.00
29966,Colorado D. Kim,51,Yahoo,Customer Relations,6635.00
29968,Harlan P. Bruce,22,Cakewalk,Finances,9517.00
29996,Imani S. Alvarado,29,Yahoo,Asset Management,9653.00
30008,Holmes Q. Jimenez,22,Lavasoft,Public Relations,6449.00
30018,Rajah X. Gates,44,Adobe,Research and Development,4933.00
30019,Ciaran I. Livingston,27,Apple Systems,Human Resources,2756.00
30023,Beatrice U. Larson,51,Apple Systems,Media Relations,6267.00
30026,Malachi N. Ewing,65,Sibelius,Asset Management,4667.00
30043,Quintessa Z. Guerra,69,Lavasoft,Customer Relations,4024.00
30046,Tarik V. Mercado,19,Lycos,Sales and Marketing,1456.00
30076,Benedict H. Vinson,68,Sibelius,Tech Support,2247.00
30083,Alfreda L. Adkins,20,Cakewalk,Public Relations,3004.00
30084,Claire W. Petersen,25,Yahoo,Accounting,9820.00
30088,Joy K. Fernandez,45,Borland,Human Resources,6421.00
30090,Jana K. Santiago,19,Google,Tech Support,9242.00
30099,Colin N. Mclaughlin,37,Microsoft,Advertising,2423.00
30102,Naida U. Walton,31,Apple Systems,Tech Support,5770.00
30104,Jelani D. Neal,68,Google,Payroll,2014.00
30110,Solomon H. Maldonado,50,Lycos,Research and Development,1487.00
30111,Neil D. Bush,43,Adobe,Payroll,1687.00
30114,Charity E. Barnett,64,Microsoft,Payroll,2918.00
30117,Ali R. Prince,60,Google,Sales and Marketing,2235.00
30138,Ryder I. Petersen,70,Cakewalk,Accounting,6645.00
30140,Rebecca X. Tran,19,Finale,Customer Service,1709.00
30146,Courtney B. Cardenas,51,Macromedia,Asset Management,5408.00
30152,Quemby W. Keith,37,Macromedia,Accounting,9168.00
30154,Sasha R. Buckner,46,Lavasoft,Legal Department,6124.00
30171,Kaseem J. Mendez,66,Google,Finances,4160.00
30172,Freya R. Acevedo,68,Sibelius,Research and Development,5613.00
30193,Baxter J. Holcomb,63,Lycos,Customer Service,4705.00
30195,Summer S. Ford,36,Macromedia,Human Resources,3301.00
30197,Jerry Z. Bradford,46,Microsoft,Quality Assurance,3745.00
30219,Xena F. Oneal,68,Sibelius,Payroll,6776.00
30222,Nina V. Fischer,39,Apple Systems,Advertising,7313.00
30229,Blaine Q. Padilla,51,Google,Asset Management,9628.00
30241,Astra Q. Alvarado,58,Finale,Media Relations,3788.00
30246,Alvin U. Buckley,20,Google,Payroll,7321.00
30250,Kim H. Jimenez,58,Apple Systems,Quality Assurance,6640.00
30259,Hedda K. Ruiz,38,Macromedia,Research and Development,2207.00
30262,Malachi J. Matthews,44,Sibelius,Customer Relations,5130.00
30267,Sigourney Z. Newton,57,Lavasoft,Legal Department,9680.00
30270,Justin P. Blevins,33,Adobe,Finances,6192.00
30272,Geraldine M. Duncan,28,Cakewalk,Advertising,1261.00
30274,Guinevere D. Dotson,69,Lavasoft,Human Resources,1748.00
30278,Caesar I. Ross,21,Cakewalk,Asset Management,9978.00
30293,David V. Hardy,47,Cakewalk,Research and Development,5039.00
30294,Ray P. Clay,61,Google,Media Relations,2989.00
30300,Vielka M. Underwood,18,Sibelius,Media Relations,3560.00
30308,Rogan M. Palmer,57,Apple Systems,Accounting,8349.00
30311,Nelle O. Burris,69,Sibelius,Media Relations,8002.00
30313,Palmer T. Long,34,Chami,Finances,5275.00
30314,Mannix D. Johns,32,Chami,Quality Assurance,8537.00
30316,Regan V. Kirkland,27,Altavista,Advertising,8072.00
30318,Norman H. Slater,42,Microsoft,Accounting,9677.00
30325,Odessa O. Mccray,44,Adobe,Public Relations,5594.00
30326,Nina H. Floyd,30,Apple Systems,Media Relations,3126.00
30329,Shellie P. Burch,41,Lycos,Legal Department,5994.00
30332,Reece C. Randolph,35,Finale,Public Relations,8249.00
30351,Riley E. Mejia,24,Chami,Media Relations,1784.00
30359,Alvin D. Charles,31,Apple Systems,Payroll,7915.00
30370,Derek T. Duke,58,Microsoft,Customer Service,1029.00
30381,Kevin F. Petty,64,Lavasoft,Tech Support,8147.00
30385,Garrett V. Atkinson,62,Google,Quality Assurance,7337.00
30395,Galena D. Dickerson,43,Cakewalk,Legal Department,5869.00
30404,Conan Y. Terry,56,Macromedia,Quality Assurance,1210.00
30412,Jaquelyn T. Porter,19,Borland,Accounting,8708.00
30415,Lunea D. Blackwell,47,Apple Systems,Media Relations,5837.00
30420,Anthony Q. Duke,27,Macromedia,Sales and Marketing,8741.00
30431,Dustin A. Cummings,24,Macromedia,Sales and Marketing,7117.00
30440,Darrel R. Mcdowell,44,Sibelius,Quality Assurance,2707.00
30443,Kristen O. Leon,42,Chami,Sales and Marketing,4295.00
30447,Zephania L. Obrien,51,Apple Systems,Public Relations,1431.00
30450,Cruz X. Mccall,21,Yahoo,Asset Management,4901.00
30463,Barry H. Rodgers,57,Adobe,Payroll,6566.00
30465,Ahmed T. Dickson,63,Yahoo,Finances,3832.00
30466,Jamalia B. Raymond,22,Microsoft,Quality Assurance,2574.00
30467,Christian F. Nielsen,57,Cakewalk,Accounting,6939.00
30476,Vielka Y. Myers,26,Microsoft,Advertising,9210.00
30480,Garrett T. Johnson,44,Adobe,Advertising,4498.00
30481,Meredith H. Maldonado,24,Apple Systems,Media Relations,4709.00
30482,Adrienne F. Hudson,40,Borland,Legal Department,7826.00
30485,Nell C. Melendez,21,Cakewalk,Tech Support,3736.00
30488,Mira G. Weaver,42,Cakewalk,Accounting,2836.00
30497,Octavius D. Erickson,68,Lavasoft,Accounting,9764.00
30509,Griffith I. Tanner,25,Lycos,Human Resources,9076.00
30512,Riley N. Gomez,44,Yahoo,Public Relations,4304.00
30516,Andrew G. Farley,41,Borland,Asset Management,1119.00
30522,Hall Q. Stuart,65,Lycos,Research and Development,7791.00
30523,Norman Q. Levy,28,Microsoft,Payroll,3514.00
30535,Aladdin B. Lowe,64,Macromedia,Customer Relations,5553.00
30545,Anastasia W. Brady,70,Borland,Asset Management,1999.00
30562,Kermit D. Newton,34,Macromedia,Finances,8542.00
30573,Reuben D. Perkins,41,Lavasoft,Tech Support,2324.00
30574,Illiana B. Nieves,57,Adobe,Customer Relations,5170.00
30577,Aspen M. Gray,43,Altavista,Research and Development,4972.00
30598,Dante Q. Nunez,54,Apple Systems,Accounting,5830.00
30599,Eaton Z. Smith,20,Apple Systems,Advertising,4659.00
30606,Uma S. England,65,Lavasoft,Research and Development,6152.00
30610,Sigourney Q. Matthews,42,Macromedia,Sales and Marketing,2917.00
30623,Mira I. Melton,51,Adobe,Tech Support,9880.00
30632,Echo I. Stuart,58,Lycos,Advertising,8079.00
30638,Kevyn E. Levine,18,Yahoo,Research and Development,8835.00
30642,Rhiannon I. Lowery,51,Altavista,Customer Service,8301.00
30655,Quemby O. Dejesus,27,Lavasoft,Tech Support,8760.00
30665,Katelyn T. Middleton,68,Borland,Customer Service,7712.00
30666,Merrill M. Johns,35,Finale,Payroll,2924.00
30667,Aretha B. Peters,25,Adobe,Human Resources,9535.00
30677,Sandra R. Lyons,68,Apple Systems,Media Relations,3033.00
30680,Velma E. Livingston,64,Adobe,Legal Department,2801.00
30693,Cora X. Raymond,20,Borland,Finances,9272.00
30696,Rae D. Spears,53,Altavista,Legal Department,8543.00
30701,Holmes N. Mendez,23,Google,Media Relations,3045.00
30703,Marcia W. Graves,38,Lavasoft,Media Relations,6750.00
30708,Daphne V. Mcknight,46,Chami,Sales and Marketing,2524.00
30709,Britanni K. Evans,29,Cakewalk,Human Resources,8383.00
30723,Roth G. Allen,34,Google,Asset Management,1670.00
30724,Nathan X. Hudson,22,Cakewalk,Human Resources,2731.00
30728,Claire P. Larson,33,Lycos,Finances,9615.00
30733,Yvonne A. Jones,23,Lavasoft,Public Relations,9420.00
30738,Dustin R. Hoover,25,Borland,Finances,8810.00
30744,Rajah I. Gibbs,48,Lavasoft,Sales and Marketing,5670.00
30753,Portia Y. Tyson,33,Altavista,Customer Service,3554.00
30754,Graiden J. Williams,31,Altavista,Media Relations,7562.00
30763,Jessamine Q. Martin,31,Sibelius,Payroll,5904.00
30767,Kristen L. Freeman,64,Apple Systems,Sales and Marketing,9092.00
30780,Damian J. Weeks,61,Google,Asset Management,7426.00
30783,Omar Y. Whitaker,63,Macromedia,Finances,4492.00
30784,Hamilton M. Clark,18,Lavasoft,Customer Relations,9868.00
30785,Finn S. Lang,60,Macromedia,Customer Service,3992.00
30791,Davis I. Blake,27,Adobe,Asset Management,9502.00
30805,Carl G. Jones,48,Adobe,Finances,8911.00
30806,Aquila L. Hill,67,Cakewalk,Finances,8230.00
30813,Perry C. Rocha,28,Google,Advertising,5371.00
30814,Harding O. Ferrell,40,Borland,Customer Service,1672.00
30816,Cameran T. Perez,67,Apple Systems,Public Relations,1093.00
30827,Kylee Y. Perry,66,Borland,Legal Department,8935.00
30829,Darryl V. Chavez,42,Google,Sales and Marketing,6842.00
30839,Quail E. Stanton,53,Microsoft,Legal Department,2437.00
30840,Mercedes F. Powers,35,Sibelius,Customer Relations,9308.00
30841,Deanna Z. Lara,69,Adobe,Research and Development,5623.00
30859,Melissa V. Carney,69,Lycos,Quality Assurance,6211.00
30871,Veronica B. Mccarty,38,Cakewalk,Media Relations,4771.00
30892,Olga Y. Dean,40,Cakewalk,Customer Service,7781.00
30900,Imelda L. Wilder,30,Chami,Human Resources,7119.00
30901,Debra O. Carroll,66,Lycos,Customer Service,1227.00
30902,Nelle W. Whitehead,48,Lycos,Asset Management,4155.00
30918,Roth U. Wagner,54,Apple Systems,Tech Support,7556.00
30932,Germaine X. Palmer,18,Borland,Legal Department,1285.00
30940,Suki C. Washington,35,Chami,Customer Relations,8393.00
30945,Keelie J. Mooney,35,Macromedia,Accounting,1387.00
30951,Cally B. Grant,18,Altavista,Customer Service,7558.00
30963,Yetta K. Riggs,39,Cakewalk,Media Relations,9414.00
30970,Jessica H. Ball,60,Google,Tech Support,6385.00
30992,India W. Haynes,20,Yahoo,Sales and Marketing,6558.00
30994,Octavia F. Tyler,41,Lavasoft,Legal Department,4566.00
30996,Abdul V. Riddle,46,Microsoft,Payroll,8819.00
31027,Solomon K. Dudley,43,Finale,Human Resources,8973.00
31031,Noelle D. Barron,19,Macromedia,Tech Support,6300.00
31045,Brady K. Whitley,54,Apple Systems,Sales and Marketing,1889.00
31058,Ebony Y. Lindsay,50,Lycos,Payroll,9263.00
31059,Brady J. Cole,31,Google,Public Relations,4927.00
31062,Baker L. Delaney,62,Chami,Public Relations,2102.00
31063,Linus I. Jefferson,21,Lavasoft,Public Relations,6555.00
31065,Keelie F. Parsons,45,Apple Systems,Media Relations,6463.00
31070,Lucian Y. Ellison,38,Cakewalk,Quality Assurance,9841.00
31072,Bree W. Osborne,41,Sibelius,Quality Assurance,5518.00
31075,Reed R. Myers,28,Yahoo,Asset Management,5357.00
31078,Regina X. Hampton,29,Chami,Finances,5159.00
31079,Brendan B. Vincent,43,Finale,Customer Service,4757.00
31086,Baxter S. Pope,23,Borland,Payroll,7803.00
31101,Glenna A. Lynch,57,Altavista,Customer Service,1262.00
31105,Yen J. Welch,27,Altavista,Advertising,5617.00
31116,Stewart Z. Gould,40,Google,Asset Management,9502.00
31123,Ignacia O. Mayo,41,Finale,Quality Assurance,4105.00
31129,Barrett M. Pickett,67,Altavista,Legal Department,2995.00
31133,Griffith K. Kemp,52,Lycos,Asset Management,3836.00
31140,Chiquita X. Hays,61,Macromedia,Customer Relations,9769.00
31144,Arden H. Kim,56,Borland,Human Resources,4304.00
31146,Nero K. Graves,56,Adobe,Tech Support,1642.00
31150,Steel O. Moss,23,Macromedia,Accounting,1789.00
31163,Nyssa T. Harrell,64,Borland,Accounting,9362.00
31164,Marsden J. Nielsen,49,Lycos,Human Resources,5820.00
31174,Colin Y. Boone,36,Lycos,Research and Development,9145.00
31178,Jaime K. Riley,36,Lycos,Accounting,7824.00
31181,Melissa U. Knight,33,Lavasoft,Media Relations,4195.00
31182,Devin F. Spears,59,Google,Customer Relations,1073.00
31190,Allegra Z. Carney,22,Lycos,Research and Development,6469.00
31197,Nadine L. Hicks,61,Yahoo,Accounting,4810.00
31201,Sloane U. Blair,58,Sibelius,Sales and Marketing,4825.00
31205,Jonah S. Lloyd,34,Apple Systems,Payroll,3999.00
31218,Ross N. Barnett,36,Lycos,Research and Development,3777.00
31220,Willow B. Jensen,25,Yahoo,Sales and Marketing,2899.00
31221,Amir L. Rose,26,Apple Systems,Finances,6962.00
31227,Mark V. Mccoy,29,Microsoft,Public Relations,7473.00
31228,Zenaida D. Contreras,20,Borland,Finances,7989.00
31231,Abel C. Cummings,62,Lavasoft,Legal Department,8953.00
31234,Rhea C. Cardenas,26,Lycos,Finances,4409.00
31236,Ferris G. Macdonald,31,Macromedia,Customer Relations,7284.00
31243,Wang B. Vaughn,20,Adobe,Accounting,7840.00
31244,Nero H. Young,47,Lavasoft,Human Resources,9204.00
31250,Madaline P. Mitchell,33,Chami,Public Relations,1663.00
31262,Janna H. Guerrero,40,Google,Research and Development,7910.00
31270,Austin A. Carver,59,Cakewalk,Quality Assurance,7364.00
31273,Donna G. Hawkins,42,Lycos,Customer Relations,5050.00
31276,Keith K. Dunlap,38,Macromedia,Accounting,3769.00
31278,Diana P. Welch,60,Lycos,Advertising,5188.00
31287,Teagan O. Bell,52,Microsoft,Sales and Marketing,7975.00
31318,Ahmed N. Humphrey,44,Adobe,Media Relations,5573.00
31320,Laith Y. Gaines,25,Adobe,Customer Service,9943.00
31327,Colton H. Mueller,24,Cakewalk,Advertising,3139.00
31332,Claudia J. Gallagher,54,Yahoo,Accounting,3755.00
31341,Tyrone D. Nieves,69,Lavasoft,Customer Service,1357.00
31346,Tasha Y. Ewing,65,Cakewalk,Legal Department,3240.00
31347,Quinn I. Sandoval,34,Lycos,Public Relations,7649.00
31357,Kevin J. Mckee,25,Lycos,Public Relations,4103.00
31365,Winifred E. Franks,19,Adobe,Asset Management,3677.00
31375,Demetrius A. Doyle,70,Apple Systems,Payroll,9310.00
31383,Jaden T. Yang,31,Lavasoft,Asset Management,1483.00
31386,Kasimir A. Garner,58,Altavista,Asset Management,3690.00
31399,Amanda Q. Morales,63,Macromedia,Public Relations,3654.00
31400,Darius Y. Mosley,68,Adobe,Asset Management,4738.00
31409,Olivia L. Mcdonald,51,Google,Research and Development,5852.00
31426,Ciara N. Hurst,51,Chami,Quality Assurance,5480.00
31434,Mark Y. Burton,42,Lycos,Quality Assurance,3604.00
31435,Quinn C. Wolfe,22,Yahoo,Media Relations,8376.00
31439,Hector J. Park,63,Chami,Legal Department,7528.00
31442,Xenos O. Mcgowan,18,Sibelius,Legal Department,6113.00
31449,Rooney U. Dyer,45,Apple Systems,Legal Department,9641.00
31453,Gwendolyn O. Fleming,60,Google,Research and Development,7476.00
31454,Geraldine J. Marsh,58,Finale,Quality Assurance,2584.00
31457,Ulysses B. Chandler,43,Yahoo,Tech Support,4172.00
31469,Lana I. Carver,64,Lycos,Customer Service,6010.00
31471,Keith M. Roach,38,Altavista,Payroll,7066.00
31477,Leonard Z. Suarez,18,Finale,Accounting,4503.00
31485,Neville L. Atkins,68,Yahoo,Asset Management,8322.00
31490,Xenos D. Phelps,28,Borland,Customer Relations,5365.00
31492,Remedios A. Espinoza,54,Borland,Asset Management,8797.00
31501,Thane Z. Franco,31,Lycos,Sales and Marketing,2764.00
31513,Laurel D. Stein,27,Sibelius,Finances,1417.00
31516,Driscoll C. Buckley,56,Macromedia,Sales and Marketing,7131.00
31520,Tatum P. Pearson,58,Adobe,Public Relations,8179.00
31528,Xaviera L. Lopez,39,Cakewalk,Tech Support,5446.00
31533,Fiona P. James,18,Borland,Payroll,4226.00
31535,Orli L. Sutton,59,Apple Systems,Human Resources,6472.00
31536,Chaim C. Duncan,65,Adobe,Human Resources,9629.00
31540,Charity E. Weber,49,Lavasoft,Customer Service,8468.00
31544,Tate H. Wilkerson,45,Lycos,Sales and Marketing,2792.00
31549,Samantha J. English,28,Altavista,Advertising,6165.00
31551,Ginger R. Cox,26,Altavista,Payroll,7715.00
31560,Kevin S. Johnston,51,Chami,Finances,5034.00
31575,Elaine F. Salinas,30,Finale,Finances,9183.00
31583,Ivan L. Ramirez,21,Apple Systems,Customer Relations,3038.00
31589,Zenia K. Morrison,46,Google,Human Resources,1165.00
31594,Patrick H. Clark,48,Macromedia,Tech Support,9722.00
31602,Megan P. Sims,67,Adobe,Accounting,2655.00
31603,Dawn R. Price,61,Google,Payroll,8115.00
31610,Neville P. Norton,38,Yahoo,Media Relations,3583.00
31615,Barry I. Aguilar,30,Borland,Finances,1453.00
31620,Elmo T. Hodges,27,Macromedia,Advertising,4617.00
31627,Madaline L. Weiss,63,Google,Human Resources,6293.00
31637,Isaac D. Ramirez,41,Lycos,Public Relations,2232.00
31640,Yetta P. Hanson,31,Yahoo,Customer Service,8455.00
31650,Harlan Q. Macdonald,22,Lycos,Customer Relations,8128.00
31654,Darius T. Morgan,55,Adobe,Finances,2568.00
31659,Halla D. Hughes,68,Borland,Payroll,4409.00
31667,Calvin V. Burch,28,Macromedia,Accounting,7020.00
31684,Sharon L. Sullivan,67,Macromedia,Research and Development,8597.00
31685,Timon N. Rosales,69,Cakewalk,Customer Service,8581.00
31688,Renee L. Fuentes,27,Lycos,Customer Relations,4488.00
31697,Marsden B. Pope,26,Finale,Public Relations,3132.00
31698,Carolyn S. Love,29,Finale,Media Relations,8214.00
31702,Raya O. Griffith,29,Sibelius,Customer Service,1849.00
31704,Henry G. Weeks,24,Yahoo,Asset Management,1464.00
31716,Jessamine Z. Townsend,41,Google,Customer Relations,5741.00
31723,Rajah T. Livingston,34,Sibelius,Asset Management,1802.00
31729,Jelani K. Hodge,36,Finale,Research and Development,6405.00
31745,Magee N. Mays,51,Apple Systems,Legal Department,6620.00
31750,Malik F. Patel,36,Microsoft,Accounting,6422.00
31759,Lane G. Roth,26,Lavasoft,Asset Management,6722.00
31774,Walter T. Ortega,23,Sibelius,Customer Relations,6818.00
31782,Channing U. Cobb,19,Chami,Customer Relations,2019.00
31788,Ori X. Mcintyre,62,Sibelius,Tech Support,1509.00
31797,Ali N. Clayton,69,Finale,Payroll,1289.00
31829,James Q. Short,23,Adobe,Advertising,2703.00
31832,Mark M. Moses,37,Finale,Media Relations,5297.00
31835,Hayes C. Gomez,21,Sibelius,Tech Support,9016.00
31836,Pearl Q. Scott,27,Chami,Advertising,3722.00
31844,Kevin W. Rich,68,Cakewalk,Human Resources,8969.00
31848,Byron W. Horne,63,Macromedia,Sales and Marketing,6298.00
31854,Abdul A. Mitchell,48,Chami,Customer Relations,9527.00
31857,Ella C. Day,43,Microsoft,Accounting,2559.00
31869,Marshall K. Price,62,Cakewalk,Finances,5580.00
31884,Adrian Y. Payne,70,Yahoo,Quality Assurance,7615.00
31885,Noel Z. Pugh,27,Yahoo,Payroll,6670.00
